JAY-Z,4:44,Smile,16 Jul 2020 16:20
D12,Devils Night,Nasty Mind,16 Jul 2020 16:15
BROCKHAMPTON,SATURATION II,JELLO,16 Jul 2020 16:11
BROCKHAMPTON,SATURATION II,SWEET,16 Jul 2020 16:06
Melanie Martinez,K-12,Show & Tell,16 Jul 2020 16:03
Weezer,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),Lost in the Woods - Weezer Version,16 Jul 2020 16:00
Weezer,Weezer (White Album) [Deluxe Edition],Friend of a Friend,16 Jul 2020 15:57
Dokken,Hell To Pay,Care for You,16 Jul 2020 14:38
AC/DC,High Voltage,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),16 Jul 2020 14:16
Dokken,Breaking the Chains,Breaking the Chains,16 Jul 2020 14:12
Death Cab for Cutie,Thank You for Today,I Dreamt We Spoke Again,16 Jul 2020 14:09
Death Cab for Cutie,Plans,Summer Skin,16 Jul 2020 14:05
Muse,Origin of Symmetry,Plug In Baby,16 Jul 2020 14:02
Muse,The Resistance,MK Ultra,16 Jul 2020 13:58
Muse,The Resistance,Unnatural Selection,16 Jul 2020 13:51
Muse,The Resistance,United States of Eurasia (+Collateral Damage),16 Jul 2020 13:45
Muse,The Resistance,Undisclosed Desires,16 Jul 2020 12:28
Muse,The Resistance,Resistance,16 Jul 2020 12:22
Muse,The Resistance,Uprising,16 Jul 2020 12:17
Ghostface Killah,Supreme Clientele,Mighty Healthy,16 Jul 2020 12:14
Ghostface Killah,Supreme Clientele,One,16 Jul 2020 12:10
Viktor Vaughn,Vaudeville Villain,Saliva,16 Jul 2020 12:07
Viktor Vaughn,Vaudeville Villain,Can I Watch? (feat. Apani B as Nikki),16 Jul 2020 12:03
Mac DeMarco,2,Freaking Out the Neighborhood,16 Jul 2020 12:00
Mac DeMarco,2,My Kind of Woman,16 Jul 2020 11:57
Mac DeMarco,2,Cooking Up Something Good,16 Jul 2020 11:54
The Rentals,Return of the Rentals,Friends of P.,16 Jul 2020 11:51
Weezer,Weezer,Pork and Beans,16 Jul 2020 11:47
Weezer,Weezer,Say It Ain't So,16 Jul 2020 11:42
Weezer,Weezer,Buddy Holly,16 Jul 2020 11:40
Weezer,Weezer,My Name Is Jonas,16 Jul 2020 11:36
Weezer,Weezer (Black Album),High as a Kite,16 Jul 2020 11:33
Weezer,Weezer (Black Album),Zombie Bastards,16 Jul 2020 11:15
Weezer,Weezer (Black Album),Can't Knock The Hustle,16 Jul 2020 11:12
Weezer,Hero,Hero,16 Jul 2020 11:08
Weezer,The End of the Game,The End of the Game,16 Jul 2020 11:05
Lita Ford,Lita,Kiss Me Deadly,16 Jul 2020 11:01
Lita Ford,Lita,Close My Eyes Forever,16 Jul 2020 10:56
Big Star,#1 Record (Remastered),Thirteen,16 Jul 2020 10:51
Death Cab for Cutie,Plans,Soul Meets Body,16 Jul 2020 09:54
Bea Miller,that bitch,THAT BITCH,16 Jul 2020 09:50
Tally Hall,Good & Evil,Cannibal,16 Jul 2020 09:47
Jeff Rosenstock,NO DREAM,The Beauty of Breathing,16 Jul 2020 09:44
Point North,Hammer,Hammer,16 Jul 2020 09:40
Weezer,Raditude (International Deluxe Version),The Underdogs,16 Jul 2020 09:36
Weezer,Raditude (International Deluxe Version),The Prettiest Girl In The Whole Wide World,16 Jul 2020 09:32
Weezer,Raditude (International Deluxe Version),I Don't Want To Let You Go,16 Jul 2020 09:28
Weezer,Raditude (International Deluxe Version),Let It All Hang Out,16 Jul 2020 09:24
Weezer,Raditude (International Deluxe Version),Put Me Back Together,16 Jul 2020 09:21
Weezer,Raditude (International Deluxe Version),Can't Stop Partying,16 Jul 2020 09:17
Weezer,Raditude (International Deluxe Version),The Girl Got Hot,16 Jul 2020 09:14
Weezer,Raditude (International Deluxe Version),I’m Your Daddy,16 Jul 2020 09:10
Weezer,Raditude (International Deluxe Version),(If You're Wondering If I Want You To) I Want You To,16 Jul 2020 09:07
The Pretty Reckless,Hit Me Like A Man EP,Cold Blooded,16 Jul 2020 09:02
The Pretty Reckless,Hit Me Like A Man EP,Under the Water,16 Jul 2020 08:58
The Pretty Reckless,Hit Me Like A Man EP,Hit Me Like a Man,16 Jul 2020 08:55
The Pretty Reckless,Kill Me,Kill Me,16 Jul 2020 08:51
Icon for Hire,Scripted,Make a Move,16 Jul 2020 07:48
The Pretty Reckless,Death by Rock and Roll,Death By Rock and Roll,16 Jul 2020 07:44
Dorothy,ROCKISDEAD,Whiskey Fever,16 Jul 2020 07:42
Dorothy,Down To The Bottom,Down To The Bottom,16 Jul 2020 07:39
Lady Gaga,Chromatica,Replay,16 Jul 2020 07:36
The Pretty Reckless,Going to Hell,House on a Hill,16 Jul 2020 07:32
The Pretty Reckless,Light Me Up,Just Tonight,16 Jul 2020 07:29
Weezer,Weezer,I Can Love,16 Jul 2020 07:25
Weezer,Weezer,It's Easy,16 Jul 2020 07:22
Weezer,Weezer,Heart Songs,16 Jul 2020 07:18
6ix9ine,YAYA,YAYA,16 Jul 2020 07:15
6ix9ine,GOOBA,GOOBA,16 Jul 2020 07:13
2Scratch,Loco,Loco,16 Jul 2020 06:57
Gringo,Alle Freunde fett,GIGI (ZKITTLEZ) (feat. 6IX9INE),16 Jul 2020 06:54
Farid Bang,GENKIDAMA,Maghreb Gang (feat. French Montana & Khaled),16 Jul 2020 06:51
Farid Bang,NURMAGOMEDOW EP,INTERNATIONAL GANGSTAS,16 Jul 2020 06:47
Farid Bang,NURMAGOMEDOW EP,NURMAGOMEDOW,16 Jul 2020 06:43
Bushido,Mythos,Unsterblichkeit (feat. Akon),16 Jul 2020 06:40
Juice WRLD,Legends Never Die,Wishing Well,16 Jul 2020 06:37
Juice WRLD,Legends Never Die,Come & Go (with Marshmello),16 Jul 2020 06:33
Juice WRLD,Legends Never Die,Righteous,16 Jul 2020 06:29
Eminem,The Marshall Mathers LP2 (Deluxe),Headlights,16 Jul 2020 06:23
Eminem,The Marshall Mathers LP2 (Deluxe),Love Game,16 Jul 2020 06:18
Charli XCX,How I'm Feeling Now,Anthems,16 Jul 2020 06:16
Charli XCX,How I'm Feeling Now,Claws,16 Jul 2020 06:13
Poppy,Am I A Girl?,Girls In Bikinis,16 Jul 2020 06:11
Weezer,Weezer (White Album) [Deluxe Edition],Friend of a Friend,16 Jul 2020 06:08
Weezer,Weezer (White Album),King of the World,16 Jul 2020 06:04
Weezer,Weezer (White Album),Do You Wanna Get High?,16 Jul 2020 06:01
Weezer,Weezer (White Album),(Girl We Got a) Good Thing,16 Jul 2020 05:57
Weezer,Weezer (White Album),Thank God for Girls,16 Jul 2020 05:54
Weezer,Weezer (White Album),Wind in Our Sail,16 Jul 2020 05:51
Weezer,Weezer (White Album),California Kids,16 Jul 2020 05:35
Weezer,Weezer (White Album) [Deluxe Edition],Friend of a Friend,16 Jul 2020 05:11
Basement,Colourmeinkindness,Covet,15 Jul 2020 21:48
The Frights,You Are Going to Hate This,You Are Going to Hate This,15 Jul 2020 21:45
Weezer,Weezer (Green Album),Island in the Sun,15 Jul 2020 21:41
Weezer,Maladroit,Keep Fishin',15 Jul 2020 21:39
Sorority Noise,You're Not As _____ As You Think,No Halo,15 Jul 2020 21:36
Joyce Manor,s/t,Constant Headache,15 Jul 2020 21:33
Weezer,Hurley,Where's My Sex?,15 Jul 2020 21:29
Weezer,Hurley,Memories,15 Jul 2020 21:26
PUP,The Dream Is Over,Pine Point,15 Jul 2020 21:21
Weezer,Everything Will Be Alright in the End,Back to the Shack,15 Jul 2020 20:25
Weezer,Weezer (White Album) [Deluxe Edition],Friend of a Friend,15 Jul 2020 20:22
blink-182,Neighborhoods (Deluxe Explicit Version),Wishing Well,15 Jul 2020 16:45
Weezer,Weezer (White Album),Thank God for Girls,15 Jul 2020 14:28
Weezer,Weezer,Pork and Beans,15 Jul 2020 14:18
Weezer,Weezer,The Greatest Man That Ever Lived (Variations on a Shaker Hymn),15 Jul 2020 14:12
Weezer,Weezer,Surf Wax America,15 Jul 2020 14:06
Weezer,Pinkerton,The Good Life,15 Jul 2020 14:02
Muse,Black Holes and Revelations,Starlight,15 Jul 2020 13:58
Third Eye Blind,American Pie,New Girl,15 Jul 2020 13:38
The Loose Nuts,American Pie,Wishen,15 Jul 2020 13:34
Foster the People,Torches,Pumped Up Kicks,15 Jul 2020 13:28
David Alaba,Sag mein Namen,Sag mein Namen,15 Jul 2020 13:25
Eminem,KILLSHOT,KILLSHOT,15 Jul 2020 13:12
fun.,Some Nights,Carry On,15 Jul 2020 12:27
MGMT,Oracular Spectacular,Kids,15 Jul 2020 12:22
fun.,Some Nights,Some Nights,15 Jul 2020 11:50
fun.,Some Nights,We Are Young (feat. Janelle Monáe),15 Jul 2020 11:45
blink-182,Enema of the State,Mutt,15 Jul 2020 11:42
blink-182,Enema of the State,The Party Song,15 Jul 2020 11:39
The Menzingers,After the Party,After the Party,15 Jul 2020 11:36
The Menzingers,Rented World,I Don't Wanna Be An Asshole Anymore,15 Jul 2020 11:33
Eminem,The Marshall Mathers LP,The Kids,15 Jul 2020 11:27
Yung Lean,Lavender,Ginseng Strip 2002,15 Jul 2020 11:25
Yung Lean,Stranger,Red Bottom Sky,15 Jul 2020 11:20
Diplo,Color Blind,Color Blind,15 Jul 2020 11:17
Bic Runga,American Pie,Sway,15 Jul 2020 11:12
Vertical Horizon,Everything You Want,You're a God,15 Jul 2020 10:54
Vertical Horizon,Everything You Want,Best I Ever Had (Grey Sky Morning),15 Jul 2020 10:50
